Juego,Tiempo(horas)(main),Peso,Fecha
Counter Strike 2,0,85,21/8/2012
Garry's Mod,0,10,29/11/2006
Tetris (Gameboy),3,32KB,6/6/1984
Splinter Cell Conviction,7.5,10,29/4/2010
Metro 2033 Redux,9,10,28/8/2014
Left 4 Dead 2,10,7.5,18/11/2008
Metro Last Light Redux,10,10,28/8/2014
The Binding of Isaac,11,50MB,28/9/2011
Tomb Raider (2013),11.5,12,5/3/2013
Wolfenstein The New Order,11.5,50,20/5/2014
Doom 2016,11.5,55,13/5/2016
Half-Life,12,6.5,19/11/1998
Remnant from the Ashes,13.5,30,20/8/2019
The Outer Worlds,13.5,40,23/10/2020
Slime Rancher,14.5,1,1/8/2017
Vampire Survivors,15,810.4MB,20/10/2022
Tiny Tina's Wonderlands,16,75,23/5/2022
Metro Exodus,16,59,14/2/2019
Remnant 2,18,80,25/7/2023
Zero Hour,20,25,9/9/2024
Forza Horizon 5,21,110,9/11/2021
Fallout New Vegas,27,10,22/10/2010
Fallout 4,27.5,30,15/11/2015
Borderlands 2,30,13,21/9/2012
Grand Theft Auto V,32,105,17/9/2013
Black Myth Wukong,38,130,20/8/2024
Halo MCC,58.5,43,3/12/2019
Elden Ring,60,60,25/2/2022
Sea of Thieves,71.5,100,3/6/2020
Ark,243,435.22,27/8/2017
